Duration ,DescrTask,Cond,Agreement,PWEW,WRITER,DEW,FirstClick,LastClick,CompTime,Description,FK Ease,FK Grade,Coleman Liau,#Sentences,#Words,#Complex Words,%Complex Words,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Q34,Q74_First Click,Q74_Last Click,Q74_Page Submit,Q74_Click Count,Q73,Q13,Q14,Q15,Q16,Q51,Q52,Q17_5,Q17_6,Q17_7,Q18_1,Q18_2,Q18_3,Q19,Q28,Q20,Q20_8_TEXT,Q21,Q21_8_TEXT,Q76,mturkcode
329,picture,PWEW,TRUE,Yes,,,1.601,156.669,225.79,"It was an early April morning. A woman crosses the street of an empty city street. It is early morning and the sun is just rising. The weather had been freezing over the past week but it was finally starting to warm up slightly. There is a cold chill in the air with a slight breeze. The woman bundles her jacket around her. The city is eerily quiet this early in the morning. No other people are around, which is strange in a busy city. The woman enjoys the calm of the morning and feels the sun hitting her in the face as she crosses the street. It is a perfect day for an early morning walk.  The buildings around her are not very tall, which doesn't make her feel as small and insignificant as some of the other sky scrapers in the other part of town. The haze of the morning was starting to clear. The woman thought about all of the things she needed to do that day. ",81.6,5.1,7.9,13,170,3,1.76,1.601,156.669,225.79,11,"It was an early April morning. A woman crosses the street of an empty city street. It is early morning and the sun is just rising. The weather had been freezing over the past week but it was finally starting to warm up slightly. There is a cold chill in the air with a slight breeze. The woman bundles her jacket around her. The city is eerily quiet this early in the morning. No other people are around, which is strange in a busy city. The woman enjoys the calm of the morning and feels the sun hitting her in the face as she crosses the street. It is a perfect day for an early morning walk.  The buildings around her are not very tall, which doesn't make her feel as small and insignificant as some of the other sky scrapers in the other part of town. The haze of the morning was starting to clear. The woman thought about all of the things she needed to do that day. ",,,,,,Female,30,White,"Masterâ€™s degree (e.g. MA,MS, MEd)",Yes,,Frequently,Rarely,Never,4 - 6 hours,1 - 3 hours,0 hours,Laptop or computer,Other (please specify),Other (please specify),research papers,Fiction books,,"i have no idea, but it was fun",80129
398,picture,DEW,TRUE,,,Yes,4.589,211.314,257.144,"Following a nuclear event that changed the world a lone survivor wanders the street after having awoken from a coma into this new world. They wonder where everyone is, why there is so much dust and why can't they see the sun. Its a lonely and cold world they have awoken into, now to survive. They found a coat and some winter boots, but this is all they have in this new world where the sun fails to break through the fog and not much else remains. They will need to find shelter and someone more apt at surviving if they want to stand a chance in this new world.  There no need for them to use this crosswalk, but its one of the only things left that lets them feel the connection tot he human society that they lost.",77.4,8.3,8.1,6,140,8,5.71,4.589,211.314,257.144,13,"Following a nuclear event that changed the world a lone survivor wanders the street after having awoken from a coma into this new world. They wonder where everyone is, why there is so much dust and why can't they see the sun. Its a lonely and cold world they have awoken into, now to survive. They found a coat and some winter boots, but this is all they have in this new world where the sun fails to break through the fog and not much else remains. They will need to find shelter and someone more apt at surviving if they want to stand a chance in this new world.  There no need for them to use this crosswalk, but its one of the only things left that lets them feel the connection tot he human society that they lost.",,,,,,Male,25,White,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Very frequently,Occasionally,Never,4 - 6 hours,1 - 3 hours,0 hours,"Smart phone,Laptop or computer","Social media posts,Other (please specify)",Other (please specify),Research findings,Other (please specify),research findings,to see how foten people write,64583
415,picture,WRITER,TRUE,,Yes,,8.94,8.94,162.722,"The image is of a deserted city. It was taken presumably in the early morning hours before the city fully arose for the day. There's a lone figure, most likely a woman based on her clothing, crossing the road. There is no destination on the side of the road she's headed to which makes it seem like she's just crossing over so she can walk on the other side. Two tall buildings are on either side of the road and they cast a dark shadow over the cross walk the lone female is crossing. There are also a few cars parked on both sides of the road including what looks like a van with an open back door.",77.2,7.4,7.7,6,118,4,3.39,8.94,8.94,162.722,1,"The image is of a deserted city. It was taken presumably in the early morning hours before the city fully arose for the day. There's a lone figure, most likely a woman based on her clothing, crossing the road. There is no destination on the side of the road she's headed to which makes it seem like she's just crossing over so she can walk on the other side. Two tall buildings are on either side of the road and they cast a dark shadow over the cross walk the lone female is crossing. There are also a few cars parked on both sides of the road including what looks like a van with an open back door.",,,,,,Female,37,Black or African American,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Never,Very frequently,Occasionally,0 hours,7 or more hours,1 - 3 hours,"Laptop or computer,Books","Social media posts,Blogs",Blogs,,Social media posts,,"I honestly have no idea, maybe to test my creativity?",83510
347,self,PWEW,TRUE,Yes,,,1.061,176.653,235.758,"i enjoy cooking food eating and playing games and will maximum try to do things which i like very much.i prefer to do things neat and good in safety zone
Thinking about your interests and motivations is a key stage in your career exploration. It can help you to formulate ideas about different job roles that could suit you and the sectors or organisations that you might like to work in.

For example, it can be helpful to think about:

your personality - what are you like as an individual? what types of roles or workplaces would suit you?
your abilities and skills - what are you good at? what skills have you developed throughout your life so far?
your interests - what do you enjoy doing? what kind of careers appeal to you?
your values - what do you care about? what is important to you?
You can use online questionnaires and personality tests to help you explore these aspects of yourself. Once you have an idea of your interests and motivations, you can use this learning to start building your own career profile
",,,,,,,,,,,,,1.061,176.653,235.758,7,"i enjoy cooking food eating and playing games and will maximum try to do things which i like very much.i prefer to do things neat and good in safety zone
Thinking about your interests and motivations is a key stage in your career exploration. It can help you to formulate ideas about different job roles that could suit you and the sectors or organisations that you might like to work in.

For example, it can be helpful to think about:

your personality - what are you like as an individual? what types of roles or workplaces would suit you?
your abilities and skills - what are you good at? what skills have you developed throughout your life so far?
your interests - what do you enjoy doing? what kind of careers appeal to you?
your values - what do you care about? what is important to you?
You can use online questionnaires and personality tests to help you explore these aspects of yourself. Once you have an idea of your interests and motivations, you can use this learning to start building your own career profile
",Male,28,American Indian or Alaska Native,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Rarely,Occasionally,Occasionally,1 - 3 hours,4 - 6 hours,1 - 3 hours,Laptop or computer,Magazines,Newspapers,,Textbooks,,about persons,58447
368,self,DEW,TRUE,,,Yes,1.319,155.637,198.362,"I am a quiet individual who likes to keep to himself.  I enjoy helping people when I can but don't share a lot of personal information about myself nor do I rely on people very much to assist me.  I enjoy movies and writing and would like to take some time to learn to write better.  I potentially could have made writing a major part of my career but I never really pursued it.  I also enjoy learning new skills that I can actually use especially in the areas of gambling and financial investing.  I do not like being in crowds as I had a bad experience in a crowd once.  I enjoy the outdoors with lots of space to explore nature and quiet reflection.
",67.3,7.8,8.2,8,126,11,8.73,,,,,,1.319,155.637,198.362,2,"I am a quiet individual who likes to keep to himself.  I enjoy helping people when I can but don't share a lot of personal information about myself nor do I rely on people very much to assist me.  I enjoy movies and writing and would like to take some time to learn to write better.  I potentially could have made writing a major part of my career but I never really pursued it.  I also enjoy learning new skills that I can actually use especially in the areas of gambling and financial investing.  I do not like being in crowds as I had a bad experience in a crowd once.  I enjoy the outdoors with lots of space to explore nature and quiet reflection.
",Male,56,White,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Never,Occasionally,Occasionally,0 hours,1 - 3 hours,1 - 3 hours,Laptop or computer,"Fiction books,Other (please specify)",Other (please specify),Work related analysis,Fiction books,,exploring certain skills,9769
356,self,DEW,TRUE,,,Yes,0.86,255.666,257.004,I am interested in a lot of things. My main hobby is photography. I have been practicing this for about three years. I also like to read. I read mostly fiction. I also enjoy being a mother to two children. My talents include that I am good at organizing. I also am good at nursing (I have a nursing degree). In my free time I am interested in relaxing in front of the tv watching a good show. I really enjoy television. I also like to go to the park with my family. I love being outdoors. The fresh air just puts me in a good mood. Summer is my favorite time of year. I also like swimming during the summer. I like having cook-outs with friends and family. It is a great way to spend a day.,82.3,3.8,6.7,17,139,10,7.19,,,,,,0.86,255.666,257.004,61,I am interested in a lot of things. My main hobby is photography. I have been practicing this for about three years. I also like to read. I read mostly fiction. I also enjoy being a mother to two children. My talents include that I am good at organizing. I also am good at nursing (I have a nursing degree). In my free time I am interested in relaxing in front of the tv watching a good show. I really enjoy television. I also like to go to the park with my family. I love being outdoors. The fresh air just puts me in a good mood. Summer is my favorite time of year. I also like swimming during the summer. I like having cook-outs with friends and family. It is a great way to spend a day.,Female,29,White,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Never,Occasionally,Rarely,0 hours,1 - 3 hours,1 - 3 hours,Laptop or computer,Other (please specify),Other (please specify),personal journal,Other (please specify),personal journal,unsure,89347
452,picture,PWEW,FALSE,No,,,3.137,243.855,244.951,"A person crosses an empty street in a large city.  It is not possible to tell if it is a man or a woman by the way they are dressed.  They are alone.  They are walking very slowly through the crosswalk on a cold day.  They appear to be dressed very warmly with a bulky jacket and boots.  There are less than ten cars parked along the sides of the street, but no vehicles are moving in the image.  They are in a residential area in between a few apartment complexes.  The buildings are five to six stories high and a few of the units have balconies.  A couple of the balconies have plants decorating the railing.",79.4,5.4,8.2,9,117,7,5.98,3.137,243.855,244.951,8,"A person crosses an empty street in a large city.  It is not possible to tell if it is a man or a woman by the way they are dressed.  They are alone.  They are walking very slowly through the crosswalk on a cold day.  They appear to be dressed very warmly with a bulky jacket and boots.  There are less than ten cars parked along the sides of the street, but no vehicles are moving in the image.  They are in a residential area in between a few apartment complexes.  The buildings are five to six stories high and a few of the units have balconies.  A couple of the balconies have plants decorating the railing.",,,,,,Female,38,White,"Associateâ€™s degree (e.g. AA, AS)",Yes,,Never,Occasionally,Never,0 hours,1 - 3 hours,0 hours,Laptop or computer,Other (please specify),Other (please specify),none,Other (please specify),none,Evaluating writing based on level of likeness,97134
479,picture,DEW,TRUE,,,Yes,3.88,228.718,230.728,"The last known man awakens from a long slumber and walks the streets of a once busy city. He looks to the left and sees vacant cars and abandoned buildings. He is confused, distraught and looking for any signs of civilized life. None are in the near vicinity, he isn't sure what to do. He pauses for a moment to collect his thoughts. The man is lost and doesn't know quite where to turn.

The last known man awakens from a long slumber and walks the streets of a once busy city. He looks to the left and sees vacant cars and abandoned buildings. He is confused, distraught and looking for any signs of civilized life. None are in the near vicinity, he isn't sure what to do. He pauses for a moment to collect his thoughts. The man is lost and doesn't know quite where to turn.",86.9,4.2,8.4,12,148,8,5.41,3.88,228.718,230.728,16,"The last known man awakens from a long slumber and walks the streets of a once busy city. He looks to the left and sees vacant cars and abandoned buildings. He is confused, distraught and looking for any signs of civilized life. None are in the near vicinity, he isn't sure what to do. He pauses for a moment to collect his thoughts. The man is lost and doesn't know quite where to turn.

The last known man awakens from a long slumber and walks the streets of a once busy city. He looks to the left and sees vacant cars and abandoned buildings. He is confused, distraught and looking for any signs of civilized life. None are in the near vicinity, he isn't sure what to do. He pauses for a moment to collect his thoughts. The man is lost and doesn't know quite where to turn.",,,,,,Female,28,White,"Associateâ€™s degree (e.g. AA, AS)",Yes,,Occasionally,Occasionally,Occasionally,4 - 6 hours,1 - 3 hours,4 - 6 hours,Laptop or computer,Social media posts,Social media posts,,Social media posts,,NA,28821
471,self,PWEW,FALSE,No,,,232.374,237.816,326.441,I am a male that just turned 40.  I have been married for over 17 years.  I work in the automotive industry where I work on driverless cars.  My background is in computer vision and machine learning.  I also have a startup company where we do machine learning for industrial automation.  We recently sold our 10th system and I hope that I can one day in the near future quit my normal job and focus on doing that entirely.  I would love to be able to just focus solely on that and pursue my dream of owning a successful company.  I have been working on the startup company for the past three years with two partners and I am ready to just have one job.,72.5,7,8.1,8,125,12,9.6,,,,,,232.374,237.816,326.441,2,I am a male that just turned 40.  I have been married for over 17 years.  I work in the automotive industry where I work on driverless cars.  My background is in computer vision and machine learning.  I also have a startup company where we do machine learning for industrial automation.  We recently sold our 10th system and I hope that I can one day in the near future quit my normal job and focus on doing that entirely.  I would love to be able to just focus solely on that and pursue my dream of owning a successful company.  I have been working on the startup company for the past three years with two partners and I am ready to just have one job.,Male,40,White,"Doctorate degree (e.g. PhD, EdD)",Yes,,Never,Frequently,Never,0 hours,1 - 3 hours,0 hours,Laptop or computer,Other (please specify),Other (please specify),"Academic papers, technical reports",Other (please specify),"Academic papers, technical reports",Give us a task that we don't really like and see how we do?,16644
502,picture,PWEW,FALSE,No,,,4.131,160.625,283.653,"On a quiet street in downtown Lexington, NC a woman is slowly walking on her way to work.  She works at an elementary school cafeteria where she need to be there extremely early to start cooking for the students.  As she is walking across the street she notices the morning fog drifting through the buildings between the early morning rays of sunshine.  She is wearing rainboots because the morning meteorologist at WXII reported that the sunshine would be brief this morning and would quickly change to torrential rain around noon.  The county was also under a flood watch for this evening.  She thinking about a lot of things in her solitude - today's thoughts drifting to wondering if she can catch a ride with a co-worker on the way home, if she should just take the bus, or save even more money and walk - risking getting drenched and later
 getting sick.  ",59.7,11.2,11.1,6,151,10,6.62,4.131,160.625,283.653,15,"On a quiet street in downtown Lexington, NC a woman is slowly walking on her way to work.  She works at an elementary school cafeteria where she need to be there extremely early to start cooking for the students.  As she is walking across the street she notices the morning fog drifting through the buildings between the early morning rays of sunshine.  She is wearing rainboots because the morning meteorologist at WXII reported that the sunshine would be brief this morning and would quickly change to torrential rain around noon.  The county was also under a flood watch for this evening.  She thinking about a lot of things in her solitude - today's thoughts drifting to wondering if she can catch a ride with a co-worker on the way home, if she should just take the bus, or save even more money and walk - risking getting drenched and later
 getting sick.  ",,,,,,Female,35,White,"Masterâ€™s degree (e.g. MA,MS, MEd)",Yes,,Very frequently,Very frequently,Never,7 or more hours,7 or more hours,0 hours,"Smart phone,Tablet,Laptop or computer,Books","Social media posts,Other (please specify)",Other (please specify),Paperwork for work,Social media posts,,feelings on writing,62606
